Chromosome, Position, Allele, Timepoints, Alt reads, Depths, Autocorrelation Combined_Pvalue
chr01, 51202, A->G, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 0 11 8, 22 34 38 24 38 35 50 57 27 21, 1.69152 0.029296
chr02, 27593, G->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 1 16 27 34 45 30 1 0, 32 49 46 45 49 45 64 49 44 31, 0.754214 0.030988
chr04, 221911, A->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 1 16 14, 28 25 39 26 50 34 48 41 32 30, 1.52753 0.020303
chr06, 43966, C->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 2 1 0 0 8 11, 27 22 22 30 40 20 50 31 23 23, 1.33908 0.038807
chr07, 7858, T->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 1 11 15, 46 33 36 42 61 28 62 22 18 29, 2.01103 0.00319968
chr07, 254991, C->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 0 11 15, 30 26 30 20 30 25 42 48 27 28, 1.51473 0.010625
chr07, 699202, T->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 0 13 11, 29 23 26 28 40 20 30 26 25 15, 1.72931 0.018107
chr08, 553411, A->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 3 6 5 4 2, 43 38 23 40 41 32 45 53 24 29, 0.894958 0.031988
chr09, 104132, C->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 2 0 0 1 1 12 19, 30 30 33 30 40 25 37 29 21 37, 1.34659 0.03772
chr09, 134823, G->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 0 23 24, 55 49 60 46 63 58 82 75 45 47, 1.63739 0.019466
chr10, 323808, G->C, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 1 5 5 2 1, 42 36 31 39 39 27 50 33 22 42, 1.18219 0.034855
chr10, 323811, T->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 1 5 6 4 1, 42 36 31 39 40 27 50 33 22 42, 1.26226 0.014894
chr10, 323815, G->C, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 1 5 6 2 1, 44 37 34 39 41 28 53 35 23 43, 1.18368 0.034489
chr11, 101382, T->C, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 1 13 20, 46 40 36 32 50 40 54 45 24 38, 1.68557 0.018526
chr13, 339718, G->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 4 5 12 21 8 0 0, 37 17 29 31 41 35 47 33 31 37, 0.84298 0.044493
chr13, 499723, C->A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 2 9 16, 22 25 25 26 33 45 60 51 24 34, 1.49441 0.035074
chr13, 581706, T->G, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 0 10 14, 21 38 33 30 30 28 44 32 22 28, 1.63043 0.019646
chr14, 9686, G->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 2 35 50, 37 41 34 29 65 62 57 50 37 51, 1.48978 0.028948
chr15, 793164, G->T, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 0 0 0 0 2 14 14, 38 31 37 29 38 36 42 41 35 34, 1.45719 0.011964
chr02, 290205, indel;+A, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 0 0 4 5 10 13 12 0 0, 24 23 31 28 29 29 30 44 31 32, 0.837225 0.031234
chr03, 228510, indel;A;-1;G, 1.100 2.100 3.100 4.100 5.100 6.100 7.100 8.100 9.100 10.100, 0 4 0 0 0 0 0 3 18 19, 41 44 34 44 54 43 89 56 32 43, 1.42001 0.025585
